task,judge_pair,score_dimension,pearson_r,pearson_p,kendall_tau,kendall_p,n_samples,exact_agreement,within_1_agreement,cohen_kappa
Interview,qwen_vs_llama,score_overall,0.7313985850918187,2.358219004638722e-22,0.6972217942854994,2.3818403549588317e-17,126,0.30158730158730157,0.9206349206349206,0.08059701492537308
Interview,qwen_vs_llama,score_fluency,0.5070434067801699,1.3733808306600881e-09,0.47965963330444494,3.739003969083257e-09,126,0.30952380952380953,0.8412698412698413,-0.04609218436873763
Interview,qwen_vs_llama,score_faithfulness,0.7974629195102745,5.532094922881979e-29,0.7642851259598199,2.379399032492696e-22,126,0.20634920634920634,0.9285714285714286,0.010367577756833168
Interview,qwen_vs_llama,score_coverage,0.6902844685182062,3.8444055271095636e-19,0.69805838450448,1.492702535871002e-17,126,0.1111111111111111,0.4126984126984127,-0.007496251874063109
Interview,qwen_vs_llama,score_purity,,,,,126,0.6984126984126984,0.6984126984126984,0.0
Interview,qwen_vs_llama,score_usefulness,0.6799102611438221,2.0538349738294463e-18,0.6421968931993859,1.1932732875903032e-15,126,0.2698412698412698,0.5873015873015873,0.06349975763451288
Interview,qwen_vs_mistral,score_overall,0.7052522899489042,3.015887345979664e-20,0.6608089449188783,3.5558948056519815e-16,126,0.18253968253968253,0.746031746031746,-0.05666829506595006
Interview,qwen_vs_mistral,score_fluency,0.5456319981416734,3.922156406299115e-11,0.4924873921506101,1.4448261938210128e-09,126,0.2619047619047619,0.753968253968254,0.09903121636167933
Interview,qwen_vs_mistral,score_faithfulness,0.7578395074546245,9.448727317134327e-25,0.7116653841971093,5.588011150710726e-20,126,0.30158730158730157,0.9523809523809523,0.11039794608472386
Interview,qwen_vs_mistral,score_coverage,0.6425382874253008,5.056776653978734e-16,0.6570713246345706,1.1494205593602675e-15,126,0.1349206349206349,0.31746031746031744,0.033973412112260015
Interview,qwen_vs_mistral,score_purity,,,,,126,0.9365079365079365,0.9365079365079365,0.0
Interview,qwen_vs_mistral,score_usefulness,0.5818333668801968,9.009193914978919e-13,0.5774467752161708,1.5970809922838307e-12,126,0.15873015873015872,0.40476190476190477,0.0035810205908684
Interview,llama_vs_mistral,score_overall,0.7977841539417501,5.067460057460271e-29,0.7481962476537484,5.528949979789897e-22,126,0.5952380952380952,1.0,0.4235220238629228
Interview,llama_vs_mistral,score_fluency,0.5840663500983412,7.029241077079315e-13,0.43437609069848926,2.8600044331384037e-08,126,0.1984126984126984,0.6666666666666666,0.10455952716014627
Interview,llama_vs_mistral,score_faithfulness,0.8022406064813679,1.4758889942013953e-29,0.7533880544740017,3.8185544726280886e-22,126,0.6190476190476191,0.9841269841269841,0.429756741467094
Interview,llama_vs_mistral,score_coverage,0.7621894779570465,3.5598018684339024e-25,0.7050411120145321,3.0088208212284917e-19,126,0.6349206349206349,0.9444444444444444,0.4463654599293151
Interview,llama_vs_mistral,score_purity,0.2513359804873254,0.004527781659487128,0.2496469566924018,0.005080800166292469,126,0.7301587301587301,0.7301587301587301,0.17551963048498853
Interview,llama_vs_mistral,score_usefulness,0.8372557363270445,2.641837128110152e-34,0.7462006845233994,1.4039273818054833e-22,126,0.5634920634920635,0.9444444444444444,0.3961836716912085
