audio_id,transcript,AF3,LlamaRead_summary,AF35_summary
08f,"CHI: Sweeney's department store was having its twentieth anniversary anniversary celebration on on May third
CHI: and was planning an an enormous sales promotion
CHI: &-um certain sections of the store were having tremendous sales
CHI: especially the dress department the jewelry department and the furniture department
CHI: in_order_to prepare the store workmen were moving busily around carrying lumber and sawing and hammering
CHI: they were creating signs displays and shelving for the products going on sale
CHI: a newspaper campaign was planned in which the products would be featured
CHI: the the stores owners hoped that customers would come to celebrate the twenty years of service to the community and would also take advantage of the bargains offered in many departments
CHI: they were planning to give away door prizes on each one of the seven floors",A speech-language pathologist is providing a summary.,"Sweeney's department store was having its twentieth anniversary celebration on May 3rd. The store was planning an enormous sales promotion with discounts in various departments. Workmen were busy preparing the store by creating signs, displays, and shelving for the sale products. A newspaper campaign was planned to feature the sale products. The store owners hoped to attract customers and give away door prizes on each of the seven floors.",
09f,"CHI: Harriet Tubman lived most of her life working to free her people
CHI: as a young slave she ran away to &-uh the north
CHI: But but frequently she she returned to to the south to help other slaves escape
CHI: she became a famous leader of the underground railroad
CHI: a secret network of households that that that provided food and shelter to runaway slaves
CHI: Harriet led groups of slaves from from one to to another on the perilous journey north
CHI: did I say that right okay
CHI: &-um they traveled only after nightfall
CHI: hiding during the day in basements fields and forests
CHI: Harriet was a master of tricks and and disguises
CHI: and at one time a reward of forty thousand or is that forty million
CHI: okay its &-um forty thousand was offered for her capture
CHI: her her daring rescues helped helped hundreds of of slaves escape to freedom
CHI: as she once said I never lost a passenger",A child narrates a story about Harriet Tubman's life and her role in the Underground Railroad.,"Harriet Tubman lived most of her life working to free her people. She ran away to the north as a young slave and frequently returned to the south to help other slaves escape. She became a famous leader of the underground railroad, a secret network of households providing food and shelter to runaway slaves. Harriet led groups of slaves from the south to the north, traveling only at night and hiding during the day. Her daring rescues helped hundreds of slaves escape to freedom.","A female speaker, in a neutral tone and moderate pace, narrates Harriet Tubman's journey to freedom and her role as a leader of the Underground Railroad."
09m,"CHI: the plumber parked the van his van in front of the apartment house took his tools out_of the back walked into the lobby and took an elevator to the twelfth floor
CHI: only one person looked out from &+a the eleventh floor window and knew that he was really a detective
CHI: Paul felt very uncomfortable about suspecting his neighbor in the apartment house as being a dishonest but many particular things had happened recently
CHI: there was something going on that he didn't understand
CHI: Miss_Franklin in one one a@l had recently purchased a necklace made out_of pearls
CHI: it had disappeared from her jewelry case
CHI: Fred_Carson in one f@l had kept his experience coin collection in &-arti a artificial book on his bookshelf
CHI: one day he noticed that it was no longer there","A child narrates a mysterious story involving a detective, a missing necklace, and a vanished coin collection.","A plumber parked his van and entered an apartment house. He took the elevator to the twelfth floor, where he was noticed by a person on the eleventh floor. The plumber, who was actually a detective, suspected one of his neighbors of being dishonest. Several recent incidents had occurred, including a missing necklace and a stolen coin collection. The detective was trying to understand what was happening in the apartment house.","A child narrates a story about a plumber, a detective, and mysterious disappearances involving a pearl necklace and coin collection."
10m,"CHI: It had been a hard on on Alice to live in a lonely castle so far from the city
CHI: tonight it was even harder because the storm frighten her
CHI: it's not even a good night for ghosts she thought
CHI: she put some more firewood wood into the fire
CHI: she knew she was only fooling herself
CHI: she knew the ghost would be in the chapel again tonight
CHI: she had seen it every night since she had moved into the castle
CHI: she went to the large window and slowly moved the curtain apart apart
CHI: she could see the chapel downhill
CHI: a flashing lightning lit the sky for a moment
CHI: she looked out again
CHI: this this time she saw the glow
CHI: coming from the chapel
CHI: her ghost was waiting",A young girl is reading a story.,"Alice lives in a lonely castle far from the city. A storm is making it an especially difficult night for her. She tries to distract herself by adding more firewood to the fire. Despite her efforts, she knows the ghost will appear in the chapel tonight. She sees the ghost waiting in the chapel, lit by a flash of lightning.","A young female speaker, sounding sad and speaking slowly, recounts a story about a ghost appearing in a castle chapel, describing the eerie experience and the ghost's presence."
10ma,"PAR1: the plumber parked his van in front of the apartment house
PAR1: took his tools out of the back
PAR1: walked into the lobby and took the elevator to the twelfth floor
PAR1: only one person looking out from an eleventh floor window
PAR1: knew that he was really an addicted detective Paul felt uncomfortable about suspecting his neighbor in the apartment house as being a dish dishonest but many particular things had happened recently there
PAR1: there was something going on that he didn't un understand ms Franklin and eleven A had recently purchased a necklace made out of pearls
PAR1: and it had disappeared from her jewelry case fred Carson and eleventh F eleven F had kept his expensive coin collection
PAR1: and in a artifactual book on his books shelf
PAR1: one day he noticed that it was no longer there","A child narrates a mysterious story about a plumber, a detective, and missing valuables.","A plumber parked his van in front of an apartment house and went to the twelfth floor. He suspected one of his neighbors of being dishonest due to recent events. Ms. Franklin had a pearl necklace that went missing from her jewelry case. Fred Carson had a coin collection that disappeared from his bookshelf. The plumber, an addicted detective, felt uncomfortable suspecting his neighbor.","A child narrates a story about a plumber in an apartment, mentioning missing items like a pearl necklace and a coin collection, with a neutral tone and moderate pace."
10mb,"PAR0: it had been very &-um hold on Alice &-um &-um to live I and a lonely castle so far from the city
PAR0: and anaya was even harder of
PAR0: and it was because the storm fighting
PAR0: and it's not even a good night
PAR0: &-um for ghost
PAR0: &-um &-um i thought
PAR0: &-um wait
PAR0: &-um so she put in some &-um firewood &-um into the fire
PAR0: &-um and she knew that she was only fooling herself
PAR0: &-um she knew the ghost would be in the chapel
PAR0: &-um again nichi had seen it every night since he moved into the castle
PAR0: and she went to the lodge window
PAR0: and and slowly moved the curtain to put
PAR0: and she could see the chapel on the hill
PAR0: &-um of flash lightning lit up the sky
PAR0: a in that moment I'm she looked up I'm out again I is this the time
PAR0: wait is is it the time she saw &-um some glove coming from the &-um chapel who ghost was waiting",A child narrates a spooky story about ghosts in a lonely castle.,"Alice lives in a lonely castle far from the city. She tries to distract herself from the ghost by putting firewood into the fire. She knows the ghost will be in the chapel every night. Alice checks the chapel from her lodge window, seeing the chapel on the hill. She sees a figure coming from the chapel, possibly the ghost.","A child speaks in a neutral tone about a ghost waiting in the chapel, mentioning a flash of lightning and the presence of firewood."
11f,"CHI: the plumber plumber parked parked his van in front of the front front of the apartment house took his tools out_of the back walked into the lobby and took the elevator to the twelfth floor
CHI: one person looking looking out from from a seventh floor window knew that he was really a detective
CHI: Paul felt very uncomfortable about suspecting his neighbor in the apartment house and being very and being dishonest but many particular things had happened recently
CHI: there was something going on that he didn't understand
CHI: Miss_Franklin in eleven a@l had recently purchased a necklace made from the pearls and had disappeared from her jewelry case
CHI: Fred_Carson in one in eleven f@l kept had kept his expensive coin collection in his artificial book in his bookshelf
CHI: one day he noticed it was no longer there",A speech-language pathologist is summarizing the audio.,"A plumber parked his van in front of an apartment house and entered the lobby. A neighbor suspected the plumber of being a detective due to his actions. The neighbor, Paul, felt uneasy about suspecting his neighbor and being dishonest. Several incidents had occurred recently, including a missing necklace and a stolen coin collection. Paul was trying to understand what was happening in the apartment house.","A female voice, speaking in a neutral tone and moderate pace, reads a short story about a plumber named Paul investigating suspicious events in an apartment building, including a missing necklace and coin collection."
11mb,"CHI: the plumber parked his van in front of the apartment house took his tools out_of the back walked into the lobby and took the elevator to the twelfth floor
CHI: only one person looking out from an eleventh floor window knew that he really was a detective
CHI: Paul felt very uncomfortable about suspecting his neighbor in the apartment house as being dishonest but many peculiar things had happened recently
CHI: there was something going on that he did not understand
CHI: Miss_Franklin in one eleven a@l had recently purchased a necklace made of pearls and it had disappeared from her jewelery case
CHI: Fred_Carson in eleventh floor had kept his expensive coin collection in a artificial book on his bookshelf
CHI: one day he noticed that it was no longer there","A child narrates a story about a plumber, a detective, and mysterious events in an apartment.","A plumber parked his van and took his tools into an apartment house. Only one person on the eleventh floor knew the plumber was actually a detective. Paul, a resident, suspected his neighbor of dishonesty due to recent strange occurrences. Two residents, Miss Franklin and Fred Carson, had items stolen from their apartments. Paul was trying to understand what was happening in the apartment house.","A child narrates a detective story involving a missing necklace and coin collection, describing suspicious events in an apartment building."
12ma,"CHI: Harriet Tubman lived most of her life working to free her people
CHI: as a young slave she ran away to the north
CHI: but frequently she returned to the south to help other slaves escape
CHI: she became a famous leader of the Underground Railroad a secret network of households that provided food and shelter for runaway slaves
CHI: Harriet led groups of slaves from one point to another through the perilous journey north
CHI: they traveled only after nightfall , hiding during the day in basements fields and forests
CHI: Harriet Harriet was a master of tricks and disguises and was and at a time was a reward of forty thousand dollars
CHI: was was offered for her capture
CHI: her daring rescues helped hundreds of slaves escape to to to freedom
CHI: as she once said I never lost a passenger",Harriet Tubman's life and her leadership in the Underground Railroad.,"Harriet Tubman lived most of her life working to free her people. She ran away to the north as a young slave and frequently returned to the south to help other slaves escape. She became a famous leader of the Underground Railroad, a secret network of households that provided food and shelter for runaway slaves. Harriet led groups of slaves from one point to another through the perilous journey north. Her daring rescues helped hundreds of slaves escape to freedom.","A child, speaking clearly and at a moderate pace with a neutral tone, delivers an informative speech about Harriet Tubman's heroic efforts in the Underground Railroad."
12mb,"CHI: Harriet Tubman lived most of her life working to free her people
CHI: as a young slave she ran away north
CHI: but frequently she ran away north
CHI: but frequent frequent frequently returned to the south to help other slaves escape
CHI: she became a famous leader of the underground railroad railroad
CHI: a secret network of households that provided food shelter &-um and and to runaway slaves
CHI: Harriet led groups of slaves &-um from one point to another on the perilous journey north
CHI: they traveled only after nightfall
CHI: hiding during the day in basements fields and forests
CHI: Harriet was a master of tricks and disguises
CHI: and and at one time a reward of forty thousand was offered for her capture
CHI: her daring rescues helped helped helped hundreds of slaves escape escape from to freedom
CHI: as as she once said I never lost a passenger","Harriet Tubman's life story, her role in the Underground Railroad, and her daring rescues of hundreds of slaves.","Harriet Tubman lived most of her life working to free her people. She ran away from slavery in the south to the north, but frequently returned to help other slaves escape. She led groups of slaves on the perilous journey north through the underground railroad, a secret network of households. Harriet was a master of tricks and disguises, with a reward of $40,000 offered for her capture. Her daring rescues helped hundreds of slaves escape to freedom.",
