audio_id,model_name,reference_summary,model_summary,score_overall,score_fluency,score_faithfulness,score_coverage,score_usefulness,rationale
08f,Qwen_summary,"Sweeney's department store was having its twentieth anniversary celebration on May 3rd. The store was planning an enormous sales promotion with discounts in various departments. Workmen were busy preparing the store by creating signs, displays, and shelving for the sale products. A newspaper campaign was planned to feature the sale products. The store owners hoped to attract customers and give away door prizes on each of the seven floors.",The child speaks about a department store celebrating its anniversary and plans for huge sales on May 3rd.,3,4,3,3,3,"In most of the summaries, the model did not mention the child’s communication style or speech patterns, and the information included was often unrelated to the topic"
09f,Qwen_summary,"Harriet Tubman lived most of her life working to free her people. She ran away to the north as a young slave and frequently returned to the south to help other slaves escape. She became a famous leader of the underground railroad, a secret network of households providing food and shelter to runaway slaves. Harriet led groups of slaves from the south to the north, traveling only at night and hiding during the day. Her daring rescues helped hundreds of slaves escape to freedom.","The child described Harriet Tubman's life, mentioning her escape from slavery and subsequent work to aid other slaves.",4,4,4,4,3,
09m,Qwen_summary,"A plumber parked his van and entered an apartment house. He took the elevator to the twelfth floor, where he was noticed by a person on the eleventh floor. The plumber, who was actually a detective, suspected one of his neighbors of being dishonest. Several recent incidents had occurred, including a missing necklace and a stolen coin collection. The detective was trying to understand what was happening in the apartment house.",The child described a scene where a person was working at a van in front of an apartment house and went to the elevator on the twelfth floor.,2,4,2,2,2,
10m,Qwen_summary,"Alice lives in a lonely castle far from the city. A storm is making it an especially difficult night for her. She tries to distract herself by adding more firewood to the fire. Despite her efforts, she knows the ghost will appear in the chapel tonight. She sees the ghost waiting in the chapel, lit by a flash of lightning.",The child says 'it had been a hard day' in a sad mood.,0,3,0,0,0,
10ma,Qwen_summary,"A plumber parked his van in front of an apartment house and went to the twelfth floor. He suspected one of his neighbors of being dishonest due to recent events. Ms. Franklin had a pearl necklace that went missing from her jewelry case. Fred Carson had a coin collection that disappeared from his bookshelf. The plumber, an addicted detective, felt uncomfortable suspecting his neighbor.","The child told a story about a person who parked their van in front of an apartment house, took their tools out from the back, walked into the lobby, and took the elevator to the twelfth floor. Only one person on the eleventh floor noticed that they were really a detective.",3,4,3,3,1,
10mb,Qwen_summary,"Alice lives in a lonely castle far from the city. She tries to distract herself from the ghost by putting firewood into the fire. She knows the ghost will be in the chapel every night. Alice checks the chapel from her lodge window, seeing the chapel on the hill. She sees a figure coming from the chapel, possibly the ghost.",The child expressed that it has been very hard for them and mentioned living in a lonely castle far from the city.,2,4,2,2,2,
11f,Qwen_summary,"A plumber parked his van in front of an apartment house and entered the lobby. A neighbor suspected the plumber of being a detective due to his actions. The neighbor, Paul, felt uneasy about suspecting his neighbor and being dishonest. Several incidents had occurred recently, including a missing necklace and a stolen coin collection. Paul was trying to understand what was happening in the apartment house.",The child said: 'the plummeted plummeted to the ground in front of the front of the potomac house took his tools out of the back walked into the lobby and took the elevator to the twelfth floor one person looking out from a seventh floor window knew that he was really a detective paul felt very comfortable about about six twenty.',3,4,3,3,1,
11mb,Qwen_summary,"A plumber parked his van and took his tools into an apartment house. Only one person on the eleventh floor knew the plumber was actually a detective. Paul, a resident, suspected his neighbor of dishonesty due to recent strange occurrences. Two residents, Miss Franklin and Fred Carson, had items stolen from their apartments. Paul was trying to understand what was happening in the apartment house.","The child spoke about a person who parked his van in front of an apartment house, took his tools, went into the lobby, and used the elevator to the twelfth floor.",3,4,3,3,1,
12ma,Qwen_summary,"Harriet Tubman lived most of her life working to free her people. She ran away to the north as a young slave and frequently returned to the south to help other slaves escape. She became a famous leader of the Underground Railroad, a secret network of households that provided food and shelter for runaway slaves. Harriet led groups of slaves from one point to another through the perilous journey north. Her daring rescues helped hundreds of slaves escape to freedom.","Harriet Tubman lived most of her life fighting for freedom, helping other slaves escape via the Underground Railroad.",3,4,3,3,1,
12mb,Qwen_summary,"Harriet Tubman lived most of her life working to free her people. She ran away from slavery in the south to the north, but frequently returned to help other slaves escape. She led groups of slaves on the perilous journey north through the underground railroad, a secret network of households. Harriet was a master of tricks and disguises, with a reward of $40,000 offered for her capture. Her daring rescues helped hundreds of slaves escape to freedom.","The child, a young boy, spoke about living with his great-grandmother in a small house and going to school by bus.",0,3,0,0,0,
