model,score_overall,score_fluency,score_faithfulness,score_coverage,score_purity,score_usefulness,judge
AF3,3.5,3.9166666666666665,2.875,2.9583333333333335,4.666666666666667,3.4166666666666665,Llama
GAMA,1.8846153846153846,2.1923076923076925,1.0384615384615385,1.1538461538461537,1.2692307692307692,1.1153846153846154,Llama
Kimi,2.9583333333333335,3.625,2.2083333333333335,2.4166666666666665,4.333333333333333,3.0,Llama
Qwen,2.3076923076923075,3.230769230769231,1.4230769230769231,1.5384615384615385,4.6923076923076925,2.1923076923076925,Llama
Salmon,2.230769230769231,3.076923076923077,1.4615384615384615,1.5384615384615385,4.076923076923077,2.1153846153846154,Llama
AF3,3.0,4.5,2.9166666666666665,2.75,5.0,3.0416666666666665,Mistral
GAMA,1.5769230769230769,1.6923076923076923,1.0769230769230769,0.9615384615384616,4.384615384615385,1.0384615384615385,Mistral
Kimi,2.7916666666666665,4.5,2.5833333333333335,2.2083333333333335,5.0,2.4583333333333335,Mistral
Qwen,2.076923076923077,4.538461538461538,1.6923076923076923,1.4230769230769231,4.846153846153846,1.6153846153846154,Mistral
Salmon,1.9615384615384615,3.5,1.7692307692307692,1.5,4.538461538461538,1.6923076923076923,Mistral
AF3,3.7916666666666665,4.416666666666667,3.4166666666666665,3.8333333333333335,5.0,3.8333333333333335,Qwen
GAMA,2.8461538461538463,3.6538461538461537,1.8846153846153846,2.8846153846153846,5.0,2.923076923076923,Qwen
Kimi,3.625,4.208333333333333,3.2083333333333335,3.8333333333333335,5.0,3.9583333333333335,Qwen
Qwen,3.230769230769231,4.115384615384615,2.423076923076923,3.1923076923076925,5.0,3.4615384615384617,Qwen
Salmon,3.230769230769231,4.076923076923077,2.3846153846153846,3.269230769230769,5.0,3.5,Qwen
AF3,3.4305555555555554,4.277777777777778,3.069444444444444,3.180555555555556,4.888888888888889,3.4305555555555554,overall
AF3_summary,,,,,,,overall
GAMA,2.1025641025641026,2.5128205128205128,1.3333333333333333,1.6666666666666667,3.551282051282051,1.6923076923076923,overall
GAMA_summary,,,,,,,overall
Kimi,3.125,4.111111111111111,2.6666666666666665,2.8194444444444446,4.777777777777778,3.1388888888888893,overall
Kimi_summary,,,,,,,overall
Qwen,2.5384615384615383,3.9615384615384612,1.846153846153846,2.0512820512820515,4.846153846153846,2.4230769230769234,overall
Qwen_summary,,,,,,,overall
Salmon,2.4743589743589745,3.551282051282051,1.8717948717948716,2.1025641025641026,4.538461538461538,2.4358974358974357,overall
Salmon_summary,,,,,,,overall
AF3_summary,,,,,,,
GAMA_summary,,,,,,,
Kimi_summary,,,,,,,
Qwen_summary,,,,,,,
Salmon_summary,,,,,,,
