audio_id,model_name,reference_summary,model_summary,score_overall,score_fluency,score_faithfulness,score_coverage,score_usefulness,rationale
08f,Salmon_summary,"Sweeney's department store was having its twentieth anniversary celebration on May 3rd. The store was planning an enormous sales promotion with discounts in various departments. Workmen were busy preparing the store by creating signs, displays, and shelving for the sale products. A newspaper campaign was planned to feature the sale products. The store owners hoped to attract customers and give away door prizes on each of the seven floors.",The department store was having its twentieth anniversary celebration on May third and was planning enormous sales.,3,4,2,2,3,"The summary lacks key details from the reference summary, such as the specific date (May 3rd), the preparations by workmen, the newspaper campaign, and the door prizes. It also omits the number of floors in the store."
09f,Salmon_summary,"Harriet Tubman lived most of her life working to free her people. She ran away to the north as a young slave and frequently returned to the south to help other slaves escape. She became a famous leader of the underground railroad, a secret network of households providing food and shelter to runaway slaves. Harriet led groups of slaves from the south to the north, traveling only at night and hiding during the day. Her daring rescues helped hundreds of slaves escape to freedom.",The child lived most of her life working to free her people as a young slave. She ran away to the north but frequently returned to help other slaves.,3,4,2,2,3,"The summary lacks key details and facts from the reference summary, making it less useful for potential users."
09m,Salmon_summary,"A plumber parked his van and entered an apartment house. He took the elevator to the twelfth floor, where he was noticed by a person on the eleventh floor. The plumber, who was actually a detective, suspected one of his neighbors of being dishonest. Several recent incidents had occurred, including a missing necklace and a stolen coin collection. The detective was trying to understand what was happening in the apartment house.",The plumber parked his van in front of the apartment house and took his tools out of the back. He walked into the lobby and took an elevator to the twelfth floor. Only one person looked out from the eleventh floor window.,3,4,2,3,3,"The summary is somewhat coherent, but lacks key details and deviates from the original story, specifically the plumber's true identity and the incidents of dishonesty."
10m,Salmon_summary,"Alice lives in a lonely castle far from the city. A storm is making it an especially difficult night for her. She tries to distract herself by adding more firewood to the fire. Despite her efforts, she knows the ghost will appear in the chapel tonight. She sees the ghost waiting in the chapel, lit by a flash of lightning.",The child speaks of a hard life and living in a castle.,2,2,1,1,1,"The summary lacks coherence and fails to capture the main events and details from the original text, making it difficult to understand and not useful for potential users."
10ma,Salmon_summary,"A plumber parked his van in front of an apartment house and went to the twelfth floor. He suspected one of his neighbors of being dishonest due to recent events. Ms. Franklin had a pearl necklace that went missing from her jewelry case. Fred Carson had a coin collection that disappeared from his bookshelf. The plumber, an addicted detective, felt uncomfortable suspecting his neighbor.","The plumber parked his van in front of the apartment house, took his tools out of the back, walked into the lobby, and took the elevator to the twelfth floor. Only one person looking out from an eleventh-floor window knew that he was really a detective.",3,4,2,2,3,"The summary is somewhat coherent but lacks key details from the reference summary, including the missing pearl necklace and coin collection, and incorrectly states the plumber's profession and the neighbor's floor level."
10mb,Salmon_summary,"Alice lives in a lonely castle far from the city. She tries to distract herself from the ghost by putting firewood into the fire. She knows the ghost will be in the chapel every night. Alice checks the chapel from her lodge window, seeing the chapel on the hill. She sees a figure coming from the chapel, possibly the ghost.",The child expresses difficulty in living in a lonesome castle far from the city.,3,4,3,4,4,The summary captures the main idea but lacks some specific details and events from the original text.
11f,Salmon_summary,"A plumber parked his van in front of an apartment house and entered the lobby. A neighbor suspected the plumber of being a detective due to his actions. The neighbor, Paul, felt uneasy about suspecting his neighbor and being dishonest. Several incidents had occurred recently, including a missing necklace and a stolen coin collection. Paul was trying to understand what was happening in the apartment house.","The plumber parked his van in front of the apartment house, took his tools out of the back, walked into the lobby, and took the elevator to the twelfth floor. One person looking out from a seventh-floor window knew that he was really a detective.",3,4,2,2,3,"The summary contains some inaccuracies and omissions compared to the reference summary, affecting its faithfulness and coverage. However, it shows some fluency and could be useful for general understanding."
11mb,Salmon_summary,"A plumber parked his van and took his tools into an apartment house. Only one person on the eleventh floor knew the plumber was actually a detective. Paul, a resident, suspected his neighbor of dishonesty due to recent strange occurrences. Two residents, Miss Franklin and Fred Carson, had items stolen from their apartments. Paul was trying to understand what was happening in the apartment house.","The plumber parked his van in front of the apartment house, took his tools out of the back, walked into the lobby, and took the elevator to the twelfth floor.",2,3,1,2,2,"The summary lacks key details and inaccurately states the floor number, deviating significantly from the reference summary."
12ma,Salmon_summary,"Harriet Tubman lived most of her life working to free her people. She ran away to the north as a young slave and frequently returned to the south to help other slaves escape. She became a famous leader of the Underground Railroad, a secret network of households that provided food and shelter for runaway slaves. Harriet led groups of slaves from one point to another through the perilous journey north. Her daring rescues helped hundreds of slaves escape to freedom.","Harriet Tubman lived most of her life working to free her people. As a young girl, she ran away to the north but frequently returned to the south to help other slaves escape. She became a famous leader of the Underground Railroad, a secret network of households that provided food and shelter for runaway slaves.",4,5,4,4,4,"The summary is generally accurate and clear, but lacks a crucial detail about the number of slaves Harriet Tubman helped escape."
12mb,Salmon_summary,"Harriet Tubman lived most of her life working to free her people. She ran away from slavery in the south to the north, but frequently returned to help other slaves escape. She led groups of slaves on the perilous journey north through the underground railroad, a secret network of households. Harriet was a master of tricks and disguises, with a reward of $40,000 offered for her capture. Her daring rescues helped hundreds of slaves escape to freedom.",The child mentioned living in a trailer park and being teased for it. They also talked about moving away from the trailer park.,1,1,1,1,1,The summary is unrelated to the reference summary and does not demonstrate any understanding of Harriet Tubman's life or accomplishments.
12mc,Salmon_summary,"Harriet Tubman worked to free her people as a young slave. She ran away to the North but returned to the South to help other slaves escape. She became a leader of the Underground Railroad, a secret network providing food and shelter to runaway slaves. She led groups of slaves on the perilous journey north, traveling at night and hiding during the day. Her daring rescues helped hundreds of slaves escape to freedom.",Harriet Tubman lived most of her life working to free her people as a young slave. She ran away to the North but frankly she returned to the South to help other slaves escape.,3,4,3,3,4,The summary is mostly accurate but lacks some key details and supporting information found in the reference summary.
13f,Salmon_summary,"The plumber parked his van in front of the apartment house and took his tools out of the back. He walked into the lobby and took the elevator to the twelfth floor, where he felt uncomfortable suspecting his neighbors of dishonesty. Recent events had led him to this suspicion, including the disappearance of a necklace and a collection of coins. The plumber, Paul, was trying to understand what was going on in the apartment house. He had noticed some suspicious behavior from his neighbors, including Ms. Franklin and Mr. Carson.","The child mentioned a plumber parked his van in front of an apartment building, took his tools out of the back, walked into the lobby, took the elevator to the twelfth floor, and became a detective by looking out of the eighth-floor window.",2,3,1,2,2,"The summary lacks coherence and contains significant factual inaccuracies, such as the plumber becoming a detective and looking out of the eighth-floor window, which is not mentioned in the reference summary."
13m,Salmon_summary,"Harriet Tubman lived most of her life working to free her people. She was a leader of the Underground Railroad, a secret network of households that provided food and shelter to runaway slaves. Harriet led groups of slaves from one point to another on the perilous journey north, hiding during the day and traveling at night. She was a master of tricks and disguises, and a significant reward was offered for her capture. Her daring rescues helped hundreds of slaves escape to freedom.","The child said that Harriet Tubman lived most of her life working to free her people. As a young slave, she ran away to the North, but frequently returned to the South to help other slaves escape. She became a famous leader of the Underground Railroad, a secret network of households that provided food and shelter to runaway slaves.",4,4,4,4,4,"The summary is mostly accurate and clear, but lacks some details present in the reference summary, such as the specific mention of Harriet's masterful use of tricks and disguises, and the number of slaves she helped escape."
