audio_id,model_name,reference_summary,model_summary,score_overall,score_fluency,score_faithfulness,score_coverage,score_usefulness,rationale
08f,Qwen_summary,"Sweeney's department store was having its twentieth anniversary celebration on May 3rd. The store was planning an enormous sales promotion with discounts in various departments. Workmen were busy preparing the store by creating signs, displays, and shelving for the sale products. A newspaper campaign was planned to feature the sale products. The store owners hoped to attract customers and give away door prizes on each of the seven floors.",The child speaks about a department store celebrating its anniversary and plans for huge sales on May 3rd.,3,4,2,2,2,"The summary lacks key details from the reference summary, such as the store owners' goal, the newspaper campaign, and the door prizes, making it difficult to understand the context and purpose of the event."
09f,Qwen_summary,"Harriet Tubman lived most of her life working to free her people. She ran away to the north as a young slave and frequently returned to the south to help other slaves escape. She became a famous leader of the underground railroad, a secret network of households providing food and shelter to runaway slaves. Harriet led groups of slaves from the south to the north, traveling only at night and hiding during the day. Her daring rescues helped hundreds of slaves escape to freedom.","The child described Harriet Tubman's life, mentioning her escape from slavery and subsequent work to aid other slaves.",3,4,3,2,3,"The summary lacks key details about Harriet Tubman's life and the underground railroad, but is generally accurate and easy to understand."
09m,Qwen_summary,"A plumber parked his van and entered an apartment house. He took the elevator to the twelfth floor, where he was noticed by a person on the eleventh floor. The plumber, who was actually a detective, suspected one of his neighbors of being dishonest. Several recent incidents had occurred, including a missing necklace and a stolen coin collection. The detective was trying to understand what was happening in the apartment house.",The child described a scene where a person was working at a van in front of an apartment house and went to the elevator on the twelfth floor.,3,4,2,2,3,"The summary lacks key details from the original text and contains inaccuracies, but is still somewhat readable."
10m,Qwen_summary,"Alice lives in a lonely castle far from the city. A storm is making it an especially difficult night for her. She tries to distract herself by adding more firewood to the fire. Despite her efforts, she knows the ghost will appear in the chapel tonight. She sees the ghost waiting in the chapel, lit by a flash of lightning.",The child says 'it had been a hard day' in a sad mood.,1,1,1,1,1,"The summary is extremely brief and inaccurate, failing to capture any key elements of the reference summary."
10ma,Qwen_summary,"A plumber parked his van in front of an apartment house and went to the twelfth floor. He suspected one of his neighbors of being dishonest due to recent events. Ms. Franklin had a pearl necklace that went missing from her jewelry case. Fred Carson had a coin collection that disappeared from his bookshelf. The plumber, an addicted detective, felt uncomfortable suspecting his neighbor.","The child told a story about a person who parked their van in front of an apartment house, took their tools out from the back, walked into the lobby, and took the elevator to the twelfth floor. Only one person on the eleventh floor noticed that they were really a detective.",2,3,1,2,2,"The summary deviates significantly from the reference summary, lacks coherence, and fails to capture key plot points and character details."
10mb,Qwen_summary,"Alice lives in a lonely castle far from the city. She tries to distract herself from the ghost by putting firewood into the fire. She knows the ghost will be in the chapel every night. Alice checks the chapel from her lodge window, seeing the chapel on the hill. She sees a figure coming from the chapel, possibly the ghost.",The child expressed that it has been very hard for them and mentioned living in a lonely castle far from the city.,3,4,2,2,3,"The summary lacks key details from the original text, such as the ghost and the chapel, and is not entirely accurate in its representation of the child's statement."
11f,Qwen_summary,"A plumber parked his van in front of an apartment house and entered the lobby. A neighbor suspected the plumber of being a detective due to his actions. The neighbor, Paul, felt uneasy about suspecting his neighbor and being dishonest. Several incidents had occurred recently, including a missing necklace and a stolen coin collection. Paul was trying to understand what was happening in the apartment house.",The child said: 'the plummeted plummeted to the ground in front of the front of the potomac house took his tools out of the back walked into the lobby and took the elevator to the twelfth floor one person looking out from a seventh floor window knew that he was really a detective paul felt very comfortable about about six twenty.',2,1,1,1,1,"The summary contains numerous inaccuracies, incoherent sentences, and missing details, making it difficult to understand and of limited usefulness."
11mb,Qwen_summary,"A plumber parked his van and took his tools into an apartment house. Only one person on the eleventh floor knew the plumber was actually a detective. Paul, a resident, suspected his neighbor of dishonesty due to recent strange occurrences. Two residents, Miss Franklin and Fred Carson, had items stolen from their apartments. Paul was trying to understand what was happening in the apartment house.","The child spoke about a person who parked his van in front of an apartment house, took his tools, went into the lobby, and used the elevator to the twelfth floor.",2,3,1,2,2,The summary contains significant inaccuracies and lacks key details from the reference summary.
12ma,Qwen_summary,"Harriet Tubman lived most of her life working to free her people. She ran away to the north as a young slave and frequently returned to the south to help other slaves escape. She became a famous leader of the Underground Railroad, a secret network of households that provided food and shelter for runaway slaves. Harriet led groups of slaves from one point to another through the perilous journey north. Her daring rescues helped hundreds of slaves escape to freedom.","Harriet Tubman lived most of her life fighting for freedom, helping other slaves escape via the Underground Railroad.",3,4,3,2,3,"The summary lacks detail and supporting information, but is generally accurate and easy to read."
12mb,Qwen_summary,"Harriet Tubman lived most of her life working to free her people. She ran away from slavery in the south to the north, but frequently returned to help other slaves escape. She led groups of slaves on the perilous journey north through the underground railroad, a secret network of households. Harriet was a master of tricks and disguises, with a reward of $40,000 offered for her capture. Her daring rescues helped hundreds of slaves escape to freedom.","The child, a young boy, spoke about living with his great-grandmother in a small house and going to school by bus.",1,2,1,1,1,The summary is unrelated to the reference summary and lacks any factual information about Harriet Tubman.
12mc,Qwen_summary,"Harriet Tubman worked to free her people as a young slave. She ran away to the North but returned to the South to help other slaves escape. She became a leader of the Underground Railroad, a secret network providing food and shelter to runaway slaves. She led groups of slaves on the perilous journey north, traveling at night and hiding during the day. Her daring rescues helped hundreds of slaves escape to freedom.",The child said that Harriet Tubman lived most of her life working to free her people and returned to the south to help other slaves escape.,3,4,3,2,3,"The summary lacks some key details and facts from the reference summary, but is generally clear and easy to understand."
13f,Qwen_summary,"The plumber parked his van in front of the apartment house and took his tools out of the back. He walked into the lobby and took the elevator to the twelfth floor, where he felt uncomfortable suspecting his neighbors of dishonesty. Recent events had led him to this suspicion, including the disappearance of a necklace and a collection of coins. The plumber, Paul, was trying to understand what was going on in the apartment house. He had noticed some suspicious behavior from his neighbors, including Ms. Franklin and Mr. Carson.",The child said that a person named Paul felt very uncomfortable suspicioning his neighbors in the apartment house.,2,3,1,1,2,"The summary lacks coherence and fails to capture the main events and characters from the reference summary, making it difficult to understand and not very useful for potential users."
13m,Qwen_summary,"Harriet Tubman lived most of her life working to free her people. She was a leader of the Underground Railroad, a secret network of households that provided food and shelter to runaway slaves. Harriet led groups of slaves from one point to another on the perilous journey north, hiding during the day and traveling at night. She was a master of tricks and disguises, and a significant reward was offered for her capture. Her daring rescues helped hundreds of slaves escape to freedom.","The child said they would not go to bed until they finish their work, indicating responsibility and determination towards completing tasks.",1,1,1,1,1,The summary is unrelated to the reference summary and does not demonstrate any understanding of the topic.
