audio_id,model_name,reference_summary,model_summary,score_overall,score_fluency,score_faithfulness,score_coverage,score_purity,score_usefulness,rationale
08f,Qwen_summary,"The child described their experience of stuttering as a ""great experience"" where they get to talk to people about it and build courage. They mentioned that they have learned to be more accepting of their stutter and that it's a part of who they are, but it won't completely go away. The child also shared that they find it easier to talk fluently in certain situations, such as when talking with family or friends, and when they're yelling.",The child said they have been volunteering at a soup kitchen and enjoyed it because they got to talk to people.,0,3,0,0,2,1,The summary is unrelated to the topic and does not cover any main points.
08fb,Qwen_summary,"The child reported participating in various activities, including juggling and playing at the pool, where they enjoyed going underwater and attempting flips. They also mentioned experiencing stuttering, which they described as happening when they get too excited or when there are many people around, and that they have learned about other people who stutter from the Friends conference. The child also mentioned attending speech therapy sessions and being able to communicate more smoothly during reading and singing.",The child shared that they have been practicing juggling with a guy who can juggle fire sticks.,1,3,1,0,2,1,It contains significant inaccuracies and lacks the child's original statements and unrelated.
09f,Qwen_summary,"Here is a 3-sentence summary of the child's part of the interview: The child has been learning to accept and feel comfortable with stuttering, and has made new friends who understand and support them. They have had positive experiences at a conference called ""Friends"" where they met other kids who stutter and learned that stuttering is a natural part of who they are, making them special and unique. The child feels more confident and comfortable speaking with people they know well, but may feel nervous and stutter more when meeting new people.",The child has been learning at the Friends convention and has made many new friends. They enjoy their classes and have to answer a final question.,2,3,1,2,3,2,The summary is unrelated to the topic and does not cover any main points.
09m,Qwen_summary,"The child reports that they have been engaging in social activities such as playing hide and seek and making new friends, and has made a new handshake with some friends. They mention that their stutter is not severe but still occurs, particularly when under pressure or in a big group. The child also shares that using stretches and attending therapy on Wednesdays helps them manage their stuttering.","The child has been engaging in activities like swimming and playing hide-and-seek at night with friends. They also mention wanting to do more things there, indicating an interest in exploring the area further.",2,3,1,1,3,2,"It did not mentioned any information about the main topic which is stuttering, overly generic and unrelated."
10m,Qwen_summary,"The child has been learning to cope with their stuttering by writing a letter to their stutter and making friends who also stutter. They have had a stutter since they were around five years old and have been attending speech therapy since they were three. The child has had some positive experiences with speaking in front of a group, such as giving a presentation about Babe Ruth in third grade, and has found that one-on-one interactions and taking their time when speaking can be helpful.",The child shared that they have been learning different ways to overcome their fear. They mentioned that they are trying to face it bravely. The child expressed a desire to understand what is behind their fear.,2,4,2,2,3,1,"It did not mentioned any information about the main topic which is stuttering, overly generic and unrelated."
10ma,Qwen_summary,"The child reported participating in fun activities such as juggling and eating Skittles, and mentioned attending a speech therapist meeting where they saw posters about a workshop. They also shared that they stutter occasionally, but it's not a frequent issue and they're comfortable with it, stating that it's usually easier to talk but may get stuck once every few weeks. The child also mentioned attending speech therapy sessions, which they found helpful, particularly playing games and receiving support from their speech therapist.",The child shared that they have been doing fun activities with friends such as juggling and eating skittles. They also expressed excitement about remaining at their current location.,2,4,2,2,3,1,"It lacks faithfulness and coverage of the child's main points, missing key details such as stuttering and speech therapy sessions."
10mb,Qwen_summary,"The child reported enjoying playing games and drawing, and expressed a preference for continuing these activities because they have been fun. They also mentioned having a positive experience meeting new people, particularly a friend named Henry with whom they enjoy discussing sports. The child feels more comfortable speaking when in smaller groups or one-on-one settings, and views stuttering as a natural part of their speech that is not something to be feared.",The child has been engaging in activities such as playing games and drawing. They express a desire to continue doing these things.,1,4,2,2,3,1,The summary is unrelated to the topic and does not cover any main points.
11f,Qwen_summary,The child reported that they have become more confident about their stuttering after learning more about it and meeting others who stutter. They mentioned that they enjoy singing in karaoke and have been looking forward to it for four weeks. The child also shared that they have a few friends who will be attending the karaoke event and that they have been having a good time laughing together.,"The child met new people at the conference, learned more about studying, and became more confident in their studying abilities.",1,3,1,1,3,0,The summary is irrelevant and does not cover the stuttering topic
11m,Qwen_summary,"The child reported making new friends who stutter and attending speech therapy to help with stuttering. They mentioned that their teacher and speech therapist assist them with breathing techniques to reduce stuttering, and they have learned that stuttering is not something to be made fun of. The child also expressed understanding that people who stutter should be treated with kindness and patience, and that it's okay to take their time when speaking.",The child spoke about making new friends and spending time with family. They also mentioned enjoying simple activities like riding a bike and playing video games.,2,3,1,1,3,2,"It lacks faithfulness and coverage of the child's main points, missing key details such as stuttering and speech therapy sessions."
11mb,Qwen_summary,"The child reported meeting new friends and familiar faces, and described having fun playing games and eating meals with them. They also described their experience with stuttering, stating that it feels like being ""frozen"" or ""glitched out"" and is more challenging when they are excited or anxious. The child mentioned that they have learned that stuttering is common and that using tools like finger contact and stretching words can help them speak more fluently.",The child met new friends and saw some familiar faces at the conference.,2,3,1,1,3,2,It does not cover the main point and do not mentioned the stuttering topic
12ma,Qwen_summary,"Here is a 3-sentence summary of the child's part of the interview: The child expressed a desire to meet other kids who stutter and learn about their experiences, stating that stuttering can come in different shapes and sizes and can be influenced by stress and relaxation. They shared their own experiences with stuttering, describing how it can be short or long and how they use strategies like taking a deep breath or loosening their throat to help manage it. The child also offered advice to adults on how to support kids who stutter, emphasizing the importance of patience, relaxation, and not forcing them to speak when they're struggling.",The child shared that they have been playing with their friends and learning new things. They mentioned enjoying art class and playing on the swings. The child also talked about helping their grandma with cooking.,2,3,1,1,4,1,"The summary is not faithful, irrelevant and does not cover the stuttering topic"
12mb,Qwen_summary,"Here is a 3-sentence summary of the child's part of the interview: The child has been attending speech therapy groups and has learned to accept stuttering as a part of themselves, viewing it as something that makes them special. They experience more stuttering when in new or high-stress situations, but feel more fluent when speaking with people they know and trust. The child believes that stuttering can be a helpful experience, allowing them to develop coping skills and confidence, and suggests that support from colleagues and education about stuttering can be more effective than relying on tools to manage stuttering.",The child shared that they have been engaging with speech therapists who are interested in their activities and experiences. They discussed what they do with their colleagues during holidays and have been busy overall.,2,3,2,2,4,3,It does not cover the main point and do not mentioned the stuttering topic
12mc,Qwen_summary,"The child reports experiencing stuttering since they were around 2-3 years old, with it being particularly challenging for them as a toddler, but improving with the help of a stutter teacher. They mention that their stutter has recently worsened, particularly around the time of the COVID-19 pandemic, and can be triggered by stress or anxiety. The child also shares that they find stuttering to be a manageable aspect of their life and that they have found helpful tools and strategies to cope with it.",The child speaks about using something to go to a place called YMC and that it was really big.,0,3,0,0,2,0,"It lacks faithfulness and coverage of the child's main points, missing key details such as stuttering and speech therapy sessions."
13f,Qwen_summary,"Here is a 3-sentence summary of the child's part of the interview: The child has been attending a stuttering support group for two years, where they have made close friends and feel comfortable discussing stuttering in a supportive environment. They have noticed that their stuttering is more pronounced when they talk fast or in loud environments, but improves when they speak in quiet settings. The child has learned about stuttering through therapy and has developed strategies to manage their stuttering, such as practicing lines for theater performances and focusing on making stuttering a non-issue in their daily life.","The child shared that this is their second year at the meeting and they have been able to do many activities because when they first came two years ago, there were fewer options available.",1,3,1,1,3,2,"The summary is not faithful, irrelevant and does not cover the stuttering topic"
13m,Qwen_summary,"Here is a 3-sentence summary of the child's part of the interview: The child reports that they have been attending speech therapy for a couple of years and have been reading books during sessions, but found some speeches in the main room to be boring and long. They mention that they have a history of stuttering and have used strategies like the ""bounce"" and ""stretch"" to help with speech, and recall that famous people like Joe Biden stutter. The child also shares that they have learned to make friends despite stuttering and having autism, and wants to be known as a comedian, not a Jerry Seinfeld clone.",The child has been reading books and does not like all speeches in the main room. They feel that the speeches take too long.,3,4,2,2,3,3,It does not cover the main point and do not mentioned the stuttering topic
14f,Qwen_summary,"The child has been participating in a teen group and hanging out with friends, which has been enjoyable. They express a desire to make more friends and have had positive experiences at a friends meeting in Indianapolis, where they met people who share similar experiences with stuttering. The child also shares their personal experience with stuttering, stating that it was worse in elementary school but has improved and is easier when they feel calm and know the person they are talking to.","The child spoke about their activities at the friends convention, mentioning spending time with the teens hip hop天涯 group and engaging in various activities like playing.",3,4,2,2,3,3,It does not cover the main point and do not mentioned the stuttering topic
14m,Qwen_summary,"The child reports that they have been talking to friends and having fun, and have met new friends since arriving at the location seven years ago. They mention that they stutter when talking fast or in front of a large group, but feel more comfortable speaking in front of family or close friends. The child also shares that they have learned about stuttering and believe that allowing individuals who stutter to take their time and receive new strategies can help improve fluency.",The child has been talking to friends and meeting old acquaintances since arriving at their current location. They find it pretty fun and enjoyable.,2,3,2,2,3,2,It does not cover the main point and do not mentioned the stuttering topic
16fa,Qwen_summary,"The child describes their stutter as unpredictable and varying in severity, sometimes being minor and other times being very disfluent and hard to understand. They mention that their stutter is often triggered by nervousness, particularly in new situations or when giving presentations. The child has learned to accept their stutter over time and has found a supportive speech therapist who understands stuttering.",The child spoke about attending work shops at the convention and expressed excitement about meeting new people who share a passion for cooking.,2,3,1,1,3,1,The summary is unrelated to the topic and does not cover any main points.
16fb,Qwen_summary,"Here is a 3-sentence summary of the child's part of the interview: The child has been meeting other kids their age who stutter and attending workshops, which has helped them make connections and feel more comfortable with their stuttering. They have learned that everyone stutters differently and copes with it in unique ways, and that they prefer a speech therapist who focuses on acceptance and self-advocacy rather than solely on improving fluency. The child feels that they have made progress and are comfortable with their stuttering, and they believe that speech therapy should prioritize the child's goals and feelings, rather than solely focusing on improving fluency.","The child spoke about attending friend conferences, meeting various kids, going to workshops, and participating in outings.",2,3,1,2,3,2,It does not cover the main point and do not mentioned the stuttering topic
16fc,Qwen_summary,"Here is a 3-sentence summary of the child's part of the interview: The child has been attending workshops and meeting new people, which has helped them feel more confident in social situations. They have noticed that their stuttering is more noticeable in certain situations, such as presentations, and that it can be harder to speak online due to the need for listeners to pay closer attention. The child values supportive relationships, particularly with their speech therapist, who allows them to express themselves freely without offering specific tools or techniques to manage their stuttering.","The child has been meeting new people, participating in workshops, hanging out with different groups, and going out to dinner.",2,3,1,2,3,2,It does not mention the main topic which is stuttering and the kid experience.
16m,Qwen_summary,"The child reports that their stuttering used to frustrate them and made them feel self-conscious, but they have learned to accept it and understand that it's okay not to be completely fluent. They believe that successful communication is about getting their message across, not about speaking perfectly, and that therapy has helped them develop strategies to cope with difficult situations. The child also emphasizes the importance of a supportive and non-judgmental approach in therapy, where clients feel treated as individuals rather than just their stuttering.",The child expressed that they stuttered when they were younger and it was a common occurrence for them. They also talked about how they have managed their stuttering since then.,4,4,3,3,5,4,It covers the main topic but lack details.
17f,Qwen_summary,"The child reported that they have been interacting with people of various ages, including teens and older adults who stutter, and have been reflecting on their own stuttering experience. They mentioned that their stuttering tends to worsen in stressful situations, but they are generally fluent most of the time, especially when with family or close friends. The child also expressed a desire to learn more about stuttering and to help others who stutter by understanding their experiences.","The child has been engaged in various activities at the convention, such as hanging out with peers, assisting with advertising, and conversing with older adults who stutter. These interactions have likely contributed to their social skills and understanding of different experiences.",3,4,3,3,5,3,It cover some details but does not mention the stutter main topic. 
17fb,Qwen_summary,"Here is a 3-sentence summary of the child's part of the interview: The child has been attending the stuttering convention for about seven years and finds it to be an impactful experience with a great community, where they feel a sense of relief and relaxation compared to their daily life. They have met many people, including friends, and enjoy discussing shared experiences related to stuttering and school. The child has a mild to intermediate stutter that worsens when they are excited or nervous, and they used to try to cover it up with speech strategies but now focus on acceptance and feel more in control of their therapy goals.",The child has been hanging out with their friends and attending events like conventions and panels.,2,3,1,1,3,1,"It did not mentioned any information about the main topic which is stuttering, overly generic and unrelated."
504,Qwen_summary,"The child expressed a desire to make new friends and learn to improve their speech, specifically mentioning wanting to overcome ""bumpy speech."" They also shared that they sometimes feel nervous when talking to strangers, which affects their speech, but acknowledged that it's okay to have some difficulties. The child also mentioned engaging in activities like drawing and playing games that involve speech, indicating some awareness and participation in speech-related activities.",The child expressed a desire to make friends and mentioned learning about not having bumpy speech.,3,4,3,3,3,1,It is clear but lacks some key details about stuttering and kid's experience.
505,Qwen_summary,"The child reported that juggling was a fun but scary experience, particularly the part where they had to juggle. They also mentioned playing tic-tac-toe and a game called ""mash the pillow"" with friends, which they enjoyed. The child occasionally stutters, but finds it easier to talk in quiet environments and when playing games, which they find most enjoyable.","The child spoke about their experience at a friends meeting, mentioning they had fun but found one activity scary. They also expressed excitement for future activities, indicated by the word 'perfect'.",3,4,2,2,3,1,"It lacks faithfulness and coverage of the child's main points, missing key details such as stuttering and specific games played."
506,Qwen_summary,"Here is a 3-sentence summary of the child's speech: The child reported that they have been attending a teen group and trying to step out of their comfort zone by interacting with new people, but stuttering is more noticeable when talking to people they don't know. They mentioned that stuttering is easier in comfortable situations with people they know, but harder during presentations or with new people. The child also shared that speech therapy helped them by allowing them to talk freely and find solutions to make situations better, and they recommended that speech therapists give them time to talk and listen without being forceful with tools.",The child has been participating in various activities at the friends meeting. They have engaged with different panels and teams and hope to increase their outdoor presence.,2,3,1,1,3,2,"It lacks faithfulness and coverage of the child's main points, missing key details such as stuttering and specific games played."
